node	degree
23767	1
10507	5
6898	9
9392	12
55374	1
4355	4
7753	5
55502	3
79169	14
80318	12
114112	4
5430	181
79172	46
8460	1
100526767	10
91734	4
150094	6
2239	7
8525	35
6358	6
8192	7
9869	130
23344	2
8970	2
222658	1
26229	12
79897	9
801	192
23587	1
183	19
27327	6
200916	2
1822	101
9895	5
444	2
2981	1
93129	1
79733	5
9751	1
55808	3
27183	15
9646	17
10755	44
7769	2
201299	1
6917	14
79740	1
4335	6
2266	11
55777	3
1742	114
79038	19
79899	4
23779	3
9789	5
92591	5
5721	38
11342	7
9145	2
86	88
83860	17
222389	39
51209	1
6795	1
23119	2
84289	41
692312	2
80221	4
440138	1
7258	1
131076	1
9361	17
89885	54
10291	193
6755	10
83444	20
337867	4
79587	1
23464	11
49856	52
22888	15
394261	1
27072	5
23612	96
5090	19
3598	2
49	3
54812	6
9068	4
4170	40
58473	7
64786	9
284390	1
26508	15
64745	14
1397	14
5079	17
4609	390
387753	1
22934	28
50861	2
7189	422
8139	5
1824	7
729230	11
83861	2
83985	4
9022	3
57002	16
55072	14
1719	12
3790	1
11167	13
7625	2
5754	2
9024	9
9849	1
70	40
3098	23
65083	2
790	30
4634	4
6401	16
152	4
6136	229
55851	9
372	12
1175	9
80817	44
115992	12
2263	29
57662	5
54956	1
5504	13
3068	2
10293	17
147011	1
6717	17
23099	21
54958	6
4478	52
5134	33
730426	1
10959	13
387755	4
56963	2
28988	18
9128	150
1021	66
54868	1
80329	4
84678	9
1650	110
5830	34
5590	205
6623	18
90417	4
170954	38
5983	23
10389	2
25843	64
4987	3
55930	2
57605	3
6625	153
25981	1
10865	13
2774	3
51778	12
10612	7
1047	2
64853	5
64983	77
657	23
153684	3
6285	34
83955	2
1390	27
7075	13
64318	1
347517	2
57863	1
10581	2
139422	1
3930	16
10540	29
26834	2
6515	2
211	50
27429	21
10734	2
7067	67
55700	7
2817	9
11235	24
80146	1
51364	5
2570	5
121391	1
8623	6
9666	41
155435	2
51626	1
54490	21
8801	28
84064	11
4113	41
16534	2
57573	10
1	7
84058	1
84707	30
55361	4
201501	2
50805	1
79845	1
6606	154
5295	247
2189	45
1263	20
128872	2
122183	24
51503	175
7274	1
90874	10
8227	11
5494	20
10979	3
374354	1
343069	1
64773	10
79939	4
2242	44
80790	2
9496	1
79180	3
8553	43
55722	17
29766	11
117246	4
143630	1
100287466	1
51454	5
27122	4
152926	1
85363	20
4520	4
8202	85
64834	2
26152	10
3937	43
55707	7
7802	6
54534	77
1489	4
283459	2
8930	6
6241	16
10554	5
7450	17
51085	3
6894	1
9605	1
3909	18
100291837	3
9406	16
631	6
51292	1
51499	3
4733	13
23433	20
732	4
1975	60
2897	8
7158	60
54741	1
5010	5
56254	17
5626	2
3431	11
23491	1
286204	1
25841	5
8714	2
6900	18
130162	3
23085	14
5888	56
55621	1
6744	6
23091	39
3483	4
2686	6
51304	5
29101	1
337963	2
4147	17
664	29
9727	9
27246	12
1675	6
54471	4
23299	13
5426	32
56751	3
191	19
84229	1
3026	7
2833	12
3589	3
5709	103
113	25
10058	2
401508	26
100529211	1
9581	3
7186	299
3215	4
224	42
60343	6
56140	1
55450	1
6583	4
135295	1
1184	6
486	1
5996	11
4093	123
10903	1
3140	1
1153	144
3607	5
4174	101
51246	1
60436	4
29089	11
80012	16
54819	36
4720	58
241	4
1641	27
23437	1
1840	23
6870	4
27248	2
2650	5
5286	16
493856	2
55285	18
23035	12
441208	6
6444	7
658	64
10616	22
139596	1
8744	3
6100	2
886	5
523	8
7541	37
92070	2
126393	3
23463	4
6456	52
10606	33
51265	12
91404	4
7026	25
535	2
136051	1
389741	10
10069	9
284169	7
134288	1
57624	2
5910	13
6888	18
64854	16
3699	1
353145	19
84365	7
1380	13
4659	22
129807	21
25911	2
28977	80
10110	11
54546	2
79665	1
79585	1
2045	8
254827	6
112869	13
5579	170
933	18
518	3
5069	15
117584	1
1944	9
54927	37
8382	2
7307	282
25999	2
51142	13
83734	17
3747	1
401135	3
27065	3
10397	70
2207	14
8277	13
80243	2
4435	17
3495	4
55970	21
84329	3
85362	4
967	18
733	2
